Data,positiviMolecolariInItalia,positiviMolecolariInVeneto,ingressiTerapiaIntensivaInItalia,ingressiTerapiaIntensivaInVeneto,ingressiOrdinariInItalia,ingressiOrdinariInVeneto,decedutiInItalia,decedutiInVenetoPopolosoQuantoItalia,letalitaItaliana,letalitaVeneta
13-02-2021,8.063079582962226,6.826513425146141,-33,-146.6854574368028,-238,912.9392073328572,311,354.48985547227346,3.443830074969963,2.9564431704885346
14-02-2021,8.164456149757921,5.246366536689117,23,24.447576239467136,5,-457.7512375488154,221,110.01409307760211,3.4379559120739756,2.9545065712730385
15-02-2021,9.146593611082395,6.2657908034360785,4,-36.6713643592007,47,436.03919986868493,258,134.46166931706924,3.438158039852368,2.955712491762921
16-02-2021,6.306634131027298,4.475743348982785,-15,-97.79030495786854,-71,657.5212907008391,336,513.3991010288098,3.437410912796837,2.9628917277279014
17-02-2021,6.738820318799231,3.6760310818888224,-31,-61.11894059866784,-205,465.95785322682553,369,855.6651683813498,3.435747987485359,2.98005860379252
18-02-2021,7.873173526883774,7.126794672202041,2,12.223788119733568,-278,-687.2676732644165,342,366.71364359200703,3.431025829062722,2.9797337351183124
19-02-2021,8.370902959120343,5.739495064208963,14,0.0,-120,-488.9515247893427,353,391.16121983147417,3.4246329042368573,2.983561601626893
20-02-2021,8.85490155467243,22.01769911504425,4,24.447576239467136,-116,-494.42260190801613,251,220.02818615520422,3.4153421780416027,2.9776941517362463
21-02-2021,8.580600559901983,4.121462602606051,31,24.447576239467136,106,-372.18472071068044,232,134.46166931706924,3.4072487777859255,2.97451509462278
22-02-2021,10.493555859119796,2.81282316442606,24,12.223788119733568,344,-39.406902918537405,274,110.01409307760211,3.405344637181729,2.9726374244685276
23-02-2021,8.068254810511911,10.751164203280016,28,24.447576239467136,144,141.21438031812943,356,256.6995505144049,3.401924042480621,2.969415809655021
24-02-2021,7.746020898549447,3.2289264191652407,11,-24.447576239467136,-95,176.60411079494335,318,256.6995505144049,3.393499321061419,2.967720755198755
25-02-2021,9.675250884297125,8.261530663963507,11,36.6713643592007,40,-472.71056422788564,308,342.2660673525399,3.380728515723731,2.964481329308429
26-02-2021,10.515310017891126,6.430187577549084,26,0.0,50,-110.01409307760211,253,281.14712675387204,3.3655102610903787,2.96092031703027
27-02-2021,10.46382553340243,7.043997668997669,22,12.223788119733568,76,-234.9875128342745,280,281.14712675387204,3.353262318055591,2.9563978649740337
28-02-2021,10.69389360516569,8.85669842504375,15,61.11894059866784,259,-624.8670987833619,192,122.23788119733568,3.339834168870171,2.951322805240269
01-03-2021,12.713993160289325,12.36047953699876,58,0.0,517,305.5947029933392,246,61.11894059866784,3.3333095106097903,2.9474943904263275
02-03-2021,9.168644851652296,6.203113656529806,38,73.3427287184014,438,-615.378849222965,343,268.9233386341385,3.3256706121672823,2.943263045564836
03-03-2021,9.43792535132915,6.389694041867955,84,122.23788119733568,239,-1164.167680728589,347,207.80439803547065,3.3140429946973966,2.937193763919822
04-03-2021,11.457946375893188,9.701200417536535,64,36.6713643592007,374,-93.77313251614505,339,244.47576239467136,3.3001024634234253,2.930193917282852
05-03-2021,10.913759250868448,7.882337960015281,50,-24.447576239467136,203,421.0798731896148,297,305.5947029933392,3.2837169700664446,2.924572175356594
06-03-2021,11.394260495064282,9.84644913627639,46,36.6713643592007,323,-118.2207087556122,307,207.80439803547065,3.2683222384945068,2.9163651067595326
07-03-2021,11.657361581783164,11.164607558139535,34,0.0,431,183.35682179600352,207,183.35682179600352,3.2529895816965424,2.9102799918250564
