Data,Positivi su totale tamponi molecolari in Italia,Positivi su totale tamponi molecolari in Veneto,ingressiTerapiaIntensivaInItalia,ingressiTerapiaIntensivaInVeneto,ingressi non terapia intensiva in Italia,ingressi non terapia intensiva in Veneto,Morti media regionale,Morti Veneto,Letalita italiana,Letalita Veneta
10-11-2020,16.117892339202232,16.467993801406603,5.809523809523809,9,53.058956916099774,132,27.61904761904762,48,4.2522926517610395,3.136905821612961
11-11-2020,14.6077823081014,20.763996496665094,5.238095238095238,4,43.58049886621315,73,29.666666666666668,46,4.176584754925984,3.0788783677021194
12-11-2020,16.18343901274971,20.707686944396027,4.238095238095238,5,24.417233560090704,94,30.285714285714285,38,4.087486789678555,2.9999669970627387
13-11-2020,16.045789068997443,20.431874858308774,2.857142857142857,6,52.22675736961452,68,26.19047619047619,37,3.9861718066328726,2.924682030770533
14-11-2020,16.361799776016163,19.441425777004998,3.619047619047619,9,26.53061224489796,38,25.904761904761905,52,3.9039729081771735,2.8710085233065534
15-11-2020,17.40058891307131,18.463166247850815,5.523809523809524,13,36.2562358276644,65,26.0,29,3.837750280222209,2.820294222609937
16-11-2020,17.91789759142687,21.011007801645828,3.3333333333333335,11,26.356009070294785,51,24.0,22,3.792496937923394,2.787771533031252
17-11-2020,15.442439244356176,16.850962835104376,5.714285714285714,14,31.174603174603174,-5,34.80952380952381,100,3.7529319781078967,2.7999547024517297
18-11-2020,14.598397165657444,17.56397376041605,2.761904761904762,8,22.965986394557824,99,35.857142857142854,52,3.7110013581147356,2.7713011070517175
19-11-2020,14.459642026332409,21.544202066590127,2.0,5,6.916099773242631,42,31.095238095238095,38,3.658309184060257,2.71272772448554
20-11-2020,15.642838241409292,21.721157459601653,1.7142857142857142,-12,18.142857142857142,49,33.285714285714285,66,3.6090199863720835,2.6885562031353576
21-11-2020,14.655706607650965,19.69521285406659,0.47619047619047616,8,5.4421768707483,30,32.95238095238095,67,3.568264674969269,2.664417085678967
22-11-2020,15.013218753145745,22.067935796939157,2.0476190476190474,6,12.310657596371883,11,26.761904761904763,31,3.5363852397811577,2.6254870315123653
23-11-2020,15.394944442579476,22.784355938284893,0.42857142857142855,9,20.235827664399093,69,30.0,37,3.523758638631927,2.6017792400696362
24-11-2020,12.314281322385892,14.42946399210786,0.2857142857142857,10,-5.448979591836735,56,40.61904761904762,95,3.526132250921292,2.6315376404847113
25-11-2020,11.240092692831087,16.322022458121126,1.5238095238095237,5,-11.061224489795919,86,34.38095238095238,76,3.513330641229436,2.6361511731603064
26-11-2020,12.463098005680866,20.787631881332917,-0.09523809523809523,-1,-13.263038548752835,25,39.142857142857146,72,3.500289759086017,2.6115951542638896
27-11-2020,12.725142839189777,20.26081802015412,-3.0476190476190474,-1,-19.900226757369616,-7,39.38095238095238,60,3.489559665508833,2.5903079855099875
28-11-2020,11.650438169425511,19.107445239525866,-0.9523809523809523,6,-19.140589569160998,214,32.666666666666664,83,3.474713204971199,2.584910478676617
29-11-2020,11.669888206902009,19.764368250132165,-0.42857142857142855,2,-20.383219954648524,-212,25.761904761904763,33,3.4635857928888742,2.5607811183307914
30-11-2020,12.547117771444332,22.292710072342793,-0.42857142857142855,9,14.258503401360546,18,32.0,34,3.4701296365904617,2.5489037859223034
01-12-2020,10.626029654036245,18.559191741708762,-3.857142857142857,-19,-21.741496598639454,67,37.38095238095238,107,3.4771401831450532,2.577517940686033
02-12-2020,9.997441381074909,18.737792146561596,-2.238095238095238,7,-19.054421768707485,-8,32.57142857142857,69,3.4749422822716722,2.5757244432074957
03-12-2020,10.554563343285752,16.551118506193383,-0.9047619047619048,-1,-33.27437641723356,-18,47.285714285714285,95,3.4861238001019923,2.5775131076445077
04-12-2020,11.327858757832294,28.53844377741861,-1.4285714285714286,2,-28.62358276643991,-24,38.76190476190476,83,3.4845545043367463,2.569564722689288
